"county","unemp_rate_mar_2020","industry","job_count"
"Alamance County",3.5,"all_industries",59768
"Alamance County",3.5,"agriculture_forestry_fishing_hunting",NA
"Alamance County",3.5,"mining",NA
"Alamance County",3.5,"utilities",NA
"Alamance County",3.5,"construction",3156
"Alamance County",3.5,"manufacturing",8482
"Alamance County",3.5,"wholesale_trade",2240
"Alamance County",3.5,"retail_trade",8965
"Alamance County",3.5,"transportation_warehousing",1676
"Alamance County",3.5,"information",308
"Alamance County",3.5,"finance_insurance",1409
"Alamance County",3.5,"real_estate_rental_leasing",523
"Alamance County",3.5,"professional_technical_services",1490
"Alamance County",3.5,"mgt_of_companies_enterprises",437
"Alamance County",3.5,"administrative_waste_services",3660
"Alamance County",3.5,"educational_services",5457
"Alamance County",3.5,"health_care_social_assistance",10315
"Alamance County",3.5,"arts_entertain_recreation",611
"Alamance County",3.5,"accommodation_food_services",6404
"Alamance County",3.5,"other_services_ex__public_admin",1658
"Alamance County",3.5,"public_admin",2766
"Alamance County",3.5,"unclassified",0
"Alexander County",3.1,"all_industries",8672
"Alexander County",3.1,"agriculture_forestry_fishing_hunting",161
"Alexander County",3.1,"mining",NA
"Alexander County",3.1,"utilities",NA
"Alexander County",3.1,"construction",319
"Alexander County",3.1,"manufacturing",3278
"Alexander County",3.1,"wholesale_trade",81
"Alexander County",3.1,"retail_trade",687
"Alexander County",3.1,"transportation_warehousing",191
"Alexander County",3.1,"information",25
"Alexander County",3.1,"finance_insurance",193
"Alexander County",3.1,"real_estate_rental_leasing",31
"Alexander County",3.1,"professional_technical_services",83
"Alexander County",3.1,"mgt_of_companies_enterprises",12
"Alexander County",3.1,"administrative_waste_services",371
"Alexander County",3.1,"educational_services",725
"Alexander County",3.1,"health_care_social_assistance",580
"Alexander County",3.1,"arts_entertain_recreation",58
"Alexander County",3.1,"accommodation_food_services",637
"Alexander County",3.1,"other_services_ex__public_admin",182
"Alexander County",3.1,"public_admin",997
"Alexander County",3.1,"unclassified",0
"Alleghany County",3.4,"all_industries",3059
"Alleghany County",3.4,"agriculture_forestry_fishing_hunting",271
"Alleghany County",3.4,"mining",NA
"Alleghany County",3.4,"utilities",NA
"Alleghany County",3.4,"construction",133
"Alleghany County",3.4,"manufacturing",584
"Alleghany County",3.4,"wholesale_trade",20
"Alleghany County",3.4,"retail_trade",287
"Alleghany County",3.4,"transportation_warehousing",164
"Alleghany County",3.4,"information",19
"Alleghany County",3.4,"finance_insurance",72
"Alleghany County",3.4,"real_estate_rental_leasing",NA
"Alleghany County",3.4,"professional_technical_services",56
"Alleghany County",3.4,"mgt_of_companies_enterprises",NA
"Alleghany County",3.4,"administrative_waste_services",71
"Alleghany County",3.4,"educational_services",228
"Alleghany County",3.4,"health_care_social_assistance",426
"Alleghany County",3.4,"arts_entertain_recreation",186
"Alleghany County",3.4,"accommodation_food_services",190
"Alleghany County",3.4,"other_services_ex__public_admin",47
"Alleghany County",3.4,"public_admin",233
"Alleghany County",3.4,"unclassified",0
"Anson County",4.9,"all_industries",6875
"Anson County",4.9,"agriculture_forestry_fishing_hunting",319
"Anson County",4.9,"mining",NA
"Anson County",4.9,"utilities",NA
"Anson County",4.9,"construction",229
"Anson County",4.9,"manufacturing",1426
"Anson County",4.9,"wholesale_trade",239
"Anson County",4.9,"retail_trade",593
"Anson County",4.9,"transportation_warehousing",600
"Anson County",4.9,"information",NA
"Anson County",4.9,"finance_insurance",86
"Anson County",4.9,"real_estate_rental_leasing",16
"Anson County",4.9,"professional_technical_services",94
"Anson County",4.9,"mgt_of_companies_enterprises",NA
"Anson County",4.9,"administrative_waste_services",285
"Anson County",4.9,"educational_services",534
"Anson County",4.9,"health_care_social_assistance",632
"Anson County",4.9,"arts_entertain_recreation",NA
"Anson County",4.9,"accommodation_food_services",404
"Anson County",4.9,"other_services_ex__public_admin",256
"Anson County",4.9,"public_admin",1055
"Anson County",4.9,"unclassified",0
"Ashe County",3,"all_industries",7026
"Ashe County",3,"agriculture_forestry_fishing_hunting",134
"Ashe County",3,"mining",NA
"Ashe County",3,"utilities",NA
"Ashe County",3,"construction",729
"Ashe County",3,"manufacturing",905
"Ashe County",3,"wholesale_trade",392
"Ashe County",3,"retail_trade",1106
"Ashe County",3,"transportation_warehousing",97
"Ashe County",3,"information",82
"Ashe County",3,"finance_insurance",178
"Ashe County",3,"real_estate_rental_leasing",63
"Ashe County",3,"professional_technical_services",99
"Ashe County",3,"mgt_of_companies_enterprises",139
"Ashe County",3,"administrative_waste_services",165
"Ashe County",3,"educational_services",503
"Ashe County",3,"health_care_social_assistance",1047
"Ashe County",3,"arts_entertain_recreation",54
