county,avg_SAT_score,achieved_hs_perc,achievied_bs_perc
"Alamance
County","1,036",0.863,0.248
"Alexander
County","1,083",0.824,0.142
"Alleghany
County","1,046",0.775,0.173
"Anson
County",948,0.807,0.113
Ashe County,"1,098",0.851,0.197
"Avery
County","1,066",0.836,0.207
"Beaufort
County","1,048",0.877,0.206
"Bertie
County",888,0.784,0.136
"Bladen
County",994,0.813,0.158
"Brunswick
County","1,077",0.913,0.299
"Buncombe
County","1,122",0.911,0.401
"Burke
County","1,130",0.816,0.164
"Cabarrus
County","1,098",0.899,0.323
"Caldwell
County","1,090",0.8,0.157
"Camden
County","1,056",0.865,0.171
"Carteret
County","1,156",0.916,0.291
"Caswell
County",997,0.804,0.159
"Catawba
County","1,112",0.859,0.226
"Chatham
County","1,096",0.889,0.424
"Cherokee
County","1,020",0.872,0.19
"Chowan
County",992,0.868,0.217
Clay County,"1,045",0.882,0.237
"Cleveland
County","1,026",0.842,0.176
"Columbus
County",989,0.83,0.138
"Craven
County","1,085",0.888,0.253
"Cumberland
County","1,030",0.91,0.255
"Currituck
County","1,060",0.905,0.235
Dare County,"1,089",0.942,0.347
"Davidson
County","1,076",0.839,0.185
"Davie
County","1,121",0.878,0.24
"Duplin
County","1,006",0.76,0.121
"Durham
County","1,067",0.884,0.482
"Edgecombe
County",967,0.811,0.136
"Forsyth
County","1,091",0.892,0.34
"Franklin
County","1,022",0.862,0.22
"Gaston
County","1,052",0.848,0.212
"Gates
County","1,039",0.891,0.143
"Graham
County","1,082",0.819,0.129
"Granville
County","1,001",0.843,0.225
"Greene
County",918,0.75,0.11
"Guilford
County","1,078",0.891,0.36
"Halifax
County",870,0.786,0.144
"Harnett
County","1,052",0.875,0.219
"Haywood
County","1,123",0.88,0.26
"Henderson
County","1,107",0.899,0.318
"Hertford
County",886,0.808,0.149
Hoke County,994,0.871,0.177
Hyde County,.,0.808,0.092
"Iredell
County","1,104",0.893,0.284
"Jackson
County","1,145",0.894,0.304
"Johnston
County","1,080",0.869,0.229
"Jones
County",974,0.811,0.122
Lee County,"1,014",0.835,0.215
"Lenoir
County",960,0.797,0.149
"Lincoln
County","1,080",0.879,0.23
"McDowell
County","1,045",0.839,0.174
"Macon
County","1,072",0.893,0.238
"Madison
County","1,072",0.87,0.285
"Martin
County","1,012",0.834,0.164
"Mecklenburg
County","1,102",0.903,0.454
"Mitchell
County","1,076",0.852,0.205
"Montgomery
County","1,009",0.795,0.157
"Moore
County","1,143",0.907,0.374
Nash County,987,0.856,0.208
"New
Hanover
County","1,139",0.932,0.406
"Northampton
County",864,0.804,0.138
"Onslow
County","1,053",0.915,0.229
"Orange
County","1,129",0.927,0.597
"Pamlico
County","1,068",0.88,0.185
"Pasquotank
County",994,0.87,0.221
"Pender
County","1,073",0.878,0.279
"Perquimans
County","1,031",0.869,0.202
"Person
County","1,026",0.865,0.156
Pitt County,"1,019",0.893,0.327
Polk County,"1,103",0.908,0.291
"Randolph
County","1,040",0.815,0.157
"Richmond
County","1,013",0.809,0.157
"Robeson
County",951,0.773,0.137
"Rockingham
County","1,006",0.827,0.151
"Rowan
County","1,033",0.856,0.185
"Rutherford
County","1,022",0.838,0.178
"Sampson
County","1,059",0.793,0.137
"Scotland
County",990,0.802,0.155
"Stanly
County","1,034",0.853,0.173
"Stokes
County","1,043",0.838,0.141
Surry County,"1,076",0.795,0.18
"Swain
County","1,034",0.798,0.182
"Transylvania
County","1,109",0.89,0.326
"Tyrrell
County",939,0.74,0.106
"Union
County","1,056",0.896,0.354
"Vance
County",943,0.804,0.148
"Wake
County","1,153",0.93,0.528
"Warren
County",901,0.816,0.158
"Washington
County",865,0.837,0.115
"Watauga
County","1,154",0.908,0.422
"Wayne
County","1,006",0.845,0.19
"Wilkes
County","1,081",0.801,0.158
"Wilson
County","1,001",0.803,0.196
"Yadkin
County","1,067",0.823,0.116
"Yancey
County","1,093",0.845,0.203
