county,median_worker_inc_2019,median_hh_income_2020,pop_perc_below_poverty_202
"Alamance
County",31203,53220,15.1
"Alexander
County",30659,53523,11.8
"Alleghany
County",24040,39916,18.1
"Anson
County",29350,40818,20.7
Ashe County,26694,44543,14.5
Avery County,23048,50800,15.8
"Beaufort
County",30225,50253,18.1
Bertie County,25585,41889,22.8
"Bladen
County",28221,43664,21.6
"Brunswick
County",29037,64371,11.2
"Buncombe
County",31158,66156,13.9
Burke County,27317,48729,18.4
"Cabarrus
County",36242,79736,8
"Caldwell
County",28579,50235,13
"Camden
County",38697,72135,7.4
"Carteret
County",30281,63475,9.3
"Caswell
County",30851,48070,15.4
"Catawba
County",31251,52737,11.6
"Chatham
County",36327,74747,9.6
"Cherokee
County",28729,44449,15.1
"Chowan
County",32670,45365,17.3
Clay County,32389,44052,16.4
"Cleveland
County",28179,49041,15
"Columbus
County",27329,40712,21.3
"Craven
County",28791,53960,13.2
"Cumberland
County",28295,49160,18.5
"Currituck
County",38095,73433,9.6
Dare County,28791,72962,8.8
"Davidson
County",31734,56067,12
Davie County,33434,65418,9.6
"Duplin
County",24042,49755,18.3
"Durham
County",36738,65619,11.7
"Edgecombe
County",26889,45156,24.1
"Forsyth
County",31991,56158,13
"Franklin
County",32302,54868,12
"Gaston
County",31804,60622,11.8
Gates County,32497,57680,13.2
"Graham
County",24403,42057,16.6
"Granville
County",33006,53112,15
"Greene
County",26010,47605,21.3
"Guilford
County",31413,55577,13.3
"Halifax
County",25788,41098,23.9
"Harnett
County",31469,55586,14.4
"Haywood
County",30614,50492,13.6
"Henderson
County",31683,60550,11
"Hertford
County",25894,46632,20.7
Hoke County,31358,53728,15
Hyde County,27112,45548,20
"Iredell
County",33896,61892,9.7
"Jackson
County",22011,49488,16.6
"Johnston
County",33907,63882,11.4
Jones County,29640,44972,18.3
Lee County,29125,57025,15.4
"Lenoir
County",26251,40586,17.2
"Lincoln
County",35241,56183,11.9
"McDowell
County",30835,47579,15.2
"Macon
County",26994,51973,12.9
"Madison
County",30479,49373,14
"Martin
County",26531,42264,20.1
"Mecklenburg
County",38323,72340,11
"Mitchell
County",29927,49236,14
"Montgomery
County",27344,48522,16
"Moore
County",34635,69413,9.3
Nash County,29226,49883,14.9
"New Hanover
County",31348,65615,10.2
"Northampton
County",26326,41630,21.7
"Onslow
County",26019,52885,12.5
"Orange
County",31651,82732,10.3
"Pamlico
County",28850,50481,14.7
"Pasquotank
County",31007,56654,14
"Pender
County",29835,59812,12.3
"Perquimans
County",31819,50813,14.4
"Person
County",33441,58991,13.5
Pitt County,29877,49955,17.1
Polk County,30035,58607,12
"Randolph
County",30382,48849,14.2
"Richmond
County",26169,42335,21.5
"Robeson
County",27285,39139,26.6
"Rockingham
County",29925,50388,13.8
"Rowan
County",30370,55398,14.4
"Rutherford
County",28548,44004,19.1
"Sampson
County",26260,45387,21.2
"Scotland
County",28502,33531,29.7
"Stanly
County",31097,53769,14.5
"Stokes
County",31484,59068,12.1
Surry County,30466,47114,15.4
"Swain
County",25708,47559,13.9
"Transylvania
County",24589,56880,12.6
"Tyrrell
County",27250,42260,20.8
Union County,38676,90920,7
"Vance
County",25813,41935,21.3
Wake County,42675,88763,7.4
"Warren
County",26155,42808,22.8
"Washington
County",22342,38704,24.3
"Watauga
County",17779,54004,15.8
"Wayne
County",27492,52906,14.9
"Wilkes
County",29092,46830,14.4
"Wilson
County",28217,44089,21.2
"Yadkin
County",31634,53154,12.1
"Yancey
County",29243,48662,14.9
