"county","year","population"
"Alamance County",2010,151465
"Alamance County",2018,167407
"Alamance County",2045,221168
"Alamance County",2048,226866
"Alexander County",2010,37183
"Alexander County",2019,36565
"Alexander County",2023,36560
"Alexander County",2025,36715
"Alexander County",2038,36736
"Alexander County",2040,36738
"Alexander County",2045,36748
"Alleghany County",2012,10867
"Alleghany County",2015,10915
"Alleghany County",2021,11120
"Alleghany County",2026,11176
"Alleghany County",2028,11202
"Anson County",2017,23526
"Anson County",2022,21502
"Anson County",2025,21326
"Anson County",2038,21111
"Anson County",2046,21091
"Anson County",2050,21092
"Ashe County",2044,26803
"Avery County",2031,17951
"Avery County",2039,17951
"Avery County",2041,17951
"Avery County",2049,17952
"Beaufort County",2013,46790
"Beaufort County",2014,46415
"Beaufort County",2018,45138
"Beaufort County",2023,44244
"Beaufort County",2029,43319
"Beaufort County",2032,42859
"Beaufort County",2036,42243
"Beaufort County",2042,41320
"Beaufort County",2043,41165
"Beaufort County",2050,40088
"Bertie County",2026,16115
"Bertie County",2037,14114
"Bertie County",2039,13753
"Bertie County",2049,11936
"Bladen County",2020,29618
"Bladen County",2030,28708
"Bladen County",2035,28731
"Bladen County",2039,28822
"Bladen County",2050,29195
"Brunswick County",2015,118372
"Brunswick County",2018,129199
"Brunswick County",2030,190301
"Brunswick County",2034,205070
"Brunswick County",2044,239678
"Buncombe County",2012,245645
"Buncombe County",2017,262360
"Buncombe County",2028,291795
"Buncombe County",2033,306325
"Buncombe County",2036,315043
"Burke County",2021,87812
"Burke County",2024,88073
"Burke County",2047,87497
"Cabarrus County",2021,231230
"Cabarrus County",2022,235654
"Cabarrus County",2024,245456
"Cabarrus County",2025,250522
"Cabarrus County",2027,260243
"Cabarrus County",2045,345669
"Cabarrus County",2050,369446
"Caldwell County",2015,81110
"Caldwell County",2033,81256
"Caldwell County",2040,81260
"Caldwell County",2043,81259
"Camden County",2020,10385
"Camden County",2027,11866
"Camden County",2029,12136
"Camden County",2030,12252
"Camden County",2032,12454
"Camden County",2039,12919
"Carteret County",2011,67354
"Carteret County",2016,67807
"Carteret County",2031,72658
"Carteret County",2039,75913
"Carteret County",2047,79160
"Caswell County",2017,22973
"Caswell County",2024,22148
"Caswell County",2037,20907
"Caswell County",2043,20340
"Caswell County",2044,20246
"Caswell County",2047,19963
"Caswell County",2048,19871
"Caswell County",2049,19776
"Caswell County",2050,19684
"Catawba County",2010,154760
"Catawba County",2017,157535
"Catawba County",2018,158393
"Catawba County",2020,160792
"Catawba County",2028,169113
"Catawba County",2029,170166
"Catawba County",2043,184924
"Catawba County",2046,188086
"Catawba County",2048,190194
"Chatham County",2029,87972
"Chatham County",2038,99745
"Chatham County",2045,108977
"Cherokee County",2011,27395
"Cherokee County",2020,28852
"Cherokee County",2032,31293
"Cherokee County",2036,32138
"Cherokee County",2041,33194
"Cherokee County",2044,33828
"Cherokee County",2047,34464
"Chowan County",2016,14016
"Chowan County",2020,13692
"Chowan County",2049,13769
"Clay County",2015,10747
"Clay County",2037,13224
"Clay County",2041,13700
"Cleveland County",2013,96827
"Cleveland County",2014,97074
"Cleveland County",2032,106317
"Cleveland County",2039,107118
"Cleveland County",2040,107178
"Cleveland County",2042,107272
"Cleveland County",2050,107458
"Columbus County",2017,52975
"Columbus County",2022,50043
"Columbus County",2035,47042
"Columbus County",2050,43549
"Craven County",2016,101875
"Craven County",2019,101167
"Craven County",2021,101988
"Craven County",2024,102233
"Craven County",2033,102573
"Craven County",2034,102586
"Craven County",2038,102617
"Craven County",2040,102624
"Craven County",2048,102639
"Cumberland County",2014,330022
"Cumberland County",2031,349603
"Cumberland County",2033,349804
"Cumberland County",2046,350043
"Cumberland County",2049,350046
"Currituck County",2039,53067
"Currituck County",2044,59582
"Dare County",2021,37481
"Dare County",2024,38848
"Dare County",2027,40216
"Dare County",2036,44319
"Dare County",2049,50246
"Davidson County",2014,163281
"Davidson County",2025,176800
"Davidson County",2027,179724
"Davidson County",2037,194335
"Davidson County",2041,200180
"Davidson County",2045,206025
"Davie County",2012,41113
"Davie County",2019,42333
"Davie County",2026,45624
"Davie County",2033,48899
"Davie County",2034,49363
"Davie County",2035,49831
"Davie County",2038,51234
"Davie County",2047,55441
"Duplin County",2020,48729
"Duplin County",2027,48777
"Duplin County",2030,48789
"Duplin County",2047,48818
"Durham County",2014,294488
"Durham County",2023,337195
"Durham County",2028,360296
"Durham County",2035,392632
"Durham County",2036,397253
"Durham County",2042,424974
"Durham County",2050,461932
"Edgecombe County",2015,52420
"Edgecombe County",2023,47122
"Forsyth County",2019,380663
"Forsyth County",2024,390943
"Forsyth County",2028,402829
"Forsyth County",2031,412599
"Forsyth County",2042,449998
