county,avg_commute_min,method_vehicle_perc,wfh_perc,method_pub_trans_perc,method_bike_perc,method_walked_perc,method_other_perc
"Alamance
County",24.2,94.5,3.3,0.2,0.1,1.5,0.5
"Alexander
County",24.5,93.1,3.6,0,0,0.9,2.4
"Alleghany
County",24.3,92.1,5.2,0.4,0.2,2.1,0
"Anson
County",26.7,95.9,1.4,0,0.4,2,0.3
Ashe County,24.9,89.9,6.7,0.1,0,1.7,1.7
"Avery
County",19.9,89.1,3.9,0.5,0,4.4,2.2
"Beaufort
County",23.1,92.5,4.5,0.1,0.1,1.7,1
"Bertie
County",28,92.9,3.5,0.9,0,1.6,1.1
"Bladen
County",25.8,95.3,2.6,0.2,0.1,1.3,0.5
"Brunswick
County",24.3,89.6,7.5,0.4,0.1,0.9,1.4
"Buncombe
County",20.5,85.8,10.1,0.6,0.3,2.3,0.9
"Burke
County",22.3,94.4,3.5,0.4,0,0.7,1.1
"Cabarrus
County",28.2,91.6,5.9,0.9,0,0.5,1.1
"Caldwell
County",25,93.2,3.4,0,0.1,0.8,2.6
"Camden
County",34.1,93.7,2.4,0,0,2.7,1.2
"Carteret
County",23.4,91.1,5,0.5,0.6,1.3,1.5
"Caswell
County",31.6,96.1,1.8,0,0.4,0.6,1
"Catawba
County",22.6,92.8,3.3,0.3,0.1,1,2.6
"Chatham
County",29.8,88.5,8.1,0.7,0.1,1.9,0.7
"Cherokee
County",25.7,88.3,7.4,0.2,0,2,2.2
"Chowan
County",29.5,89.8,3.9,0.5,0.5,3.9,1.4
Clay County,22.9,92.5,2.9,0,0,2.5,2.1
"Cleveland
County",24.7,94.4,1.8,0.3,0,2.3,1.1
"Columbus
County",27,95.7,2.3,0.2,0.1,1,0.7
"Craven
County",20.5,91.6,3.8,0.3,0.4,2.3,1.6
"Cumberland
County",21.4,88.6,3.5,0.5,0.1,5.9,1.5
"Currituck
County",36.2,93.6,4.3,0,0.2,1.1,0.8
Dare County,21.1,86.9,8.3,0,1,2.3,1.4
"Davidson
County",25.1,94.5,3.2,0.4,0,1,0.9
"Davie
County",26.4,92.9,4.7,0.2,0,1.2,1
"Duplin
County",26.2,94.3,2.8,0.1,0.1,1.8,0.9
"Durham
County",22.9,87,5.7,3.2,0.6,2.3,1.2
"Edgecombe
County",22.8,90.1,2.1,0.2,0.1,2.7,4.8
"Forsyth
County",21.9,91,5.1,1.1,0.1,1.6,0.9
"Franklin
County",33.3,93.2,4.7,0.2,0,1.3,0.6
"Gaston
County",26.5,94.4,3.2,0.4,0.1,0.9,1
"Gates
County",36.6,97.2,1.8,0,0,0.3,0.7
"Graham
County",28,94.6,2.9,0.1,0,1.1,1.3
"Granville
County",28.9,93,4.8,0.2,0,0.9,1.1
"Greene
County",27,95.8,1.6,0.1,0,2.1,0.3
"Guilford
County",21.9,90.5,5.5,1.2,0.2,1.6,0.9
"Halifax
County",23.8,94.6,2.7,0.1,0,1.6,1
"Harnett
County",30.4,94.5,3.3,0.2,0,1.2,0.9
"Haywood
County",22.7,92.7,3.9,0.2,0.3,1.8,1.1
"Henderson
County",21.8,90.7,6.5,0.2,0.1,1.3,1.2
"Hertford
County",26.6,92.9,1.8,0.3,0.5,3.4,1.1
Hoke County,28.6,94.4,2.9,0.5,0,0.6,1.6
Hyde County,23.6,84.4,9.7,0.4,0.5,2.3,2.7
"Iredell
County",25.8,91.8,6.2,0.3,0.1,0.7,1
"Jackson
County",20.2,90.5,3.2,0.2,0.1,4.8,1.2
"Johnston
County",30.9,92.6,5.9,0.2,0.1,0.5,0.6
"Jones
County",29.4,93.9,3.4,0.1,0,1.7,0.9
Lee County,25.5,95.1,2.9,0.5,0,1,0.6
"Lenoir
County",23.4,94.9,1.8,0.7,0.4,1.2,1.1
"Lincoln
County",30.3,94.2,4.4,0.2,0,0.2,1
"McDowell
County",24.2,94.9,3.6,0,0,0.8,0.7
"Macon
County",21.6,90.1,4.5,0.2,0,2.3,2.8
"Madison
County",28.7,87.4,9.5,0,0,2.2,0.8
"Martin
County",24.5,94.9,2.8,0.1,0.2,1.2,0.7
"Mecklenburg
County",26.4,85.8,8.1,2.9,0.1,1.9,1.2
"Mitchell
County",24,94.8,2.2,0.1,0,2.3,0.7
"Montgomery
County",24.6,96.3,1.5,0.2,0,0.8,1.2
"Moore
County",24.9,89.6,7.5,0.1,0,1.1,1.7
Nash County,23,93.3,4,0.5,0,1.1,1.1
"New
Hanover
County",20.2,88.6,7.6,0.5,0.6,1.9,0.8
"Northampton
County",26,94.4,3.4,0.1,0.1,1.4,0.6
"Onslow
County",20.6,85.2,4.5,0.3,0.2,8.2,1.5
"Orange
County",23.5,74.7,9.7,7.1,1.7,5.5,1.4
"Pamlico
County",28.1,91.3,5.7,0.4,0.4,0.7,1.5
"Pasquotank
County",29.5,92.9,2.4,0.1,0.3,2.4,1.8
"Pender
County",30.4,91.1,7,0.5,0.1,0.7,0.7
"Perquimans
County",34.8,92,5.3,0,0.1,1.8,0.8
"Person
County",30.4,93.7,2.7,0.3,0,1.1,2.1
Pitt County,20.7,91.8,4.7,1.3,0.2,1.2,0.7
Polk County,27.1,89.8,5.7,0.1,0,1.8,2.7
"Randolph
County",24,94.6,3.3,0.3,0,0.7,1
"Richmond
County",23.8,94.2,2.3,0.5,0,2.4,0.6
"Robeson
County",24.4,96.5,1.6,0.2,0,0.8,0.9
"Rockingham
County",26.4,94.5,3.6,0.2,0,1,0.7
"Rowan
County",25.6,93.1,3.8,0.3,0.2,1.7,1
"Rutherford
County",25.6,93.8,3,0.2,0.1,1.6,1.3
"Sampson
County",26.7,94.4,3.4,0.3,0,1.1,0.7
"Scotland
County",23.2,96.4,1.3,0.2,0.2,1.3,0.5
"Stanly
County",27,92.9,4.4,0.1,0,1.7,0.9
"Stokes
County",29.3,95.8,3.5,0.1,0,0.2,0.3
Surry County,26.3,95.5,2.4,0.3,0,0.9,0.8
"Swain
County",19.3,91.5,4.4,0.7,0,1.4,1.9
"Transylvania
County",23.6,88.1,7.7,0.2,1.1,2.6,0.3
"Tyrrell
County",30.9,96.2,1.9,0.4,0,1.5,0
"Union
County",29.8,90.2,7.5,0.5,0,0.9,0.9
"Vance
County",25.2,94.2,3.9,0.1,0,0.9,0.9
"Wake
County",25.5,87,9.6,1,0.3,1.2,1
"Warren
County",28.3,94.3,2.6,0.2,0,1.9,1.1
"Washington
County",24.2,91.1,2.9,0,2.4,2.1,1.4
"Watauga
County",20.5,83.6,7.9,1.7,0.3,6,0.5
"Wayne
County",22.2,94.4,2.8,0.5,0.1,1.7,0.4
"Wilkes
County",25.3,95.6,3,0.1,0,0.6,0.6
"Wilson
County",21.6,93,2.2,0.2,0.2,1.3,3.1
"Yadkin
County",26.6,92.9,5.1,0.1,0.6,0.8,0.5
"Yancey
County",28.4,91.3,5.5,0,0.3,1,2
