county,unemp_rate_mar_2020,all_industries,agriculture_forestry_fishing_hunting,mining,utilities,construction,manufacturing,wholesale_trade,retail_trade,transportation_warehousing,information,finance_insurance,real_estate_rental_leasing,professional_technical_services,mgt_of_companies_enterprises,administrative_waste_services,educational_services,health_care_social_assistance,arts_entertain_recreation,accommodation_food_services,other_services_ex__public_admin,public_admin,unclassified
"Alamance
County",3.5,59768,.,.,.,3156,"8,482","2,240",8965,1676,308,1409,523,1490,437,"3,660",5457,10315,611,6404,1658,2766,0
"Alexander
County",3.1,8672,161,.,.,319,"3,278",81,687,191,25,193,31,83,12,371,725,580,58,637,182,997,0
"Alleghany
County",3.4,3059,271,.,.,133,584,20,287,164,19,72,.,56,.,71,228,426,186,190,47,233,0
"Anson
County",4.9,6875,319,.,.,229,"1,426",239,593,600,.,86,16,94,.,285,534,632,.,404,256,1055,0
Ashe County,3,7026,134,.,.,729,905,392,1106,97,82,178,63,99,139,165,503,1047,54,671,158,449,0
"Avery
County",3.2,6413,104,.,.,481,76,125,895,96,20,75,108,66,.,332,529,816,675,706,302,954,0
"Beaufort
County",3.5,15341,669,.,.,623,"2,054",965,2227,415,76,343,107,304,108,"1,256",1346,1958,140,1265,321,1163,0
"Bertie
County",4.9,5515,325,.,0,37,"2,094",57,274,143,11,57,5,35,.,252,363,686,47,206,61,823,0
"Bladen
County",4.6,13074,711,0,.,300,.,162,846,757,.,102,34,125,.,918,761,828,11,528,119,923,0
"Brunswick
County",4.8,32692,175,.,"1,120",2386,"1,422",570,5728,900,321,544,842,1061,.,"1,727",2403,4440,"1,369",4350,802,2510,0
"Buncombe
County",2.9,122520,281,86,534,6119,"13,166","3,009",15770,3746,"1,323",2535,"2,000",5566,974,"6,212",8382,25111,"2,524",14283,4741,6162,0
"Burke
County",3.2,28502,.,.,.,638,"6,798",424,2936,312,70,344,138,358,54,"1,902",2051,7103,105,2369,491,2250,0
"Cabarrus
County",3.2,73986,101,75,131,4531,"5,205","4,580",11525,5414,702,1003,997,2309,"1,035","3,747",5760,9721,"2,604",8866,2026,3657,0
"Caldwell
County",3.5,24806,.,.,119,819,"5,881","1,814",2771,1160,216,367,121,494,320,915,2123,3597,150,1823,549,1458,0
"Camden
County",3,1172,94,0,.,83,37,18,123,43,.,24,7,43,0,52,270,82,.,98,38,141,0
"Carteret
County",3.2,22655,121,.,135,1479,912,368,4341,358,193,496,514,706,.,"1,084",1518,3283,638,3847,755,1917,0
"Caswell
County",3.8,2808,92,.,0,266,191,22,273,54,.,56,5,52,0,.,433,382,.,126,80,651,0
"Catawba
County",3.3,83698,89,32,354,2824,"22,834","4,270",10892,4992,392,1212,629,2568,"1,740","4,276",4315,10311,807,6306,1623,3234,0
"Chatham
County",2.6,14944,532,.,3,1113,.,417,1721,538,.,283,197,656,.,1,1312,2396,218,1373,452,1040,0
"Cherokee
County",3.8,7581,48,.,43,412,598,82,1404,84,77,186,94,571,.,114,687,1331,45,886,176,637,0
