county,year,population
Alamance,2010,151465
Alamance,2018,167407
Alamance,2045,221168
Alamance,2048,226866
Alexander,2010,37183
Alexander,2019,36565
Alexander,2023,36560
Alexander,2025,36715
Alexander,2038,36736
Alexander,2040,36738
Alexander,2045,36748
Alleghany,2012,10867
Alleghany,2015,10915
Alleghany,2021,11120
Alleghany,2026,11176
Alleghany,2028,11202
Anson,2017,23526
Anson,2022,21502
Anson,2025,21326
Anson,2038,21111
Anson,2046,21091
Anson,2050,21092
Ashe,2044,26803
Avery,2031,17951
Avery,2039,17951
Avery,2041,17951
Avery,2049,17952
Beaufort,2013,46790
Beaufort,2014,46415
Beaufort,2018,45138
Beaufort,2023,44244
Beaufort,2029,43319
Beaufort,2032,42859
Beaufort,2036,42243
Beaufort,2042,41320
Beaufort,2043,41165
Beaufort,2050,40088
Bertie,2026,16115
Bertie,2037,14114
Bertie,2039,13753
Bertie,2049,11936
Bladen,2020,29618
Bladen,2030,28708
Bladen,2035,28731
Bladen,2039,28822
Bladen,2050,29195
Brunswick,2015,118372
Brunswick,2018,129199
Brunswick,2030,190301
Brunswick,2034,205070
Brunswick,2044,239678
Buncombe,2012,245645
Buncombe,2017,262360
Buncombe,2028,291795
Buncombe,2033,306325
Buncombe,2036,315043
Burke,2021,87812
Burke,2024,88073
Burke,2047,87497
Cabarrus,2021,231230
Cabarrus,2022,235654
Cabarrus,2024,245456
Cabarrus,2025,250522
Cabarrus,2027,260243
Cabarrus,2045,345669
Cabarrus,2050,369446
Caldwell,2015,81110
Caldwell,2033,81256
Caldwell,2040,81260
Caldwell,2043,81259
Camden,2020,10385
Camden,2027,11866
Camden,2029,12136
Camden,2030,12252
Camden,2032,12454
Camden,2039,12919
Carteret,2011,67354
Carteret,2016,67807
Carteret,2031,72658
Carteret,2039,75913
Carteret,2047,79160
Caswell,2017,22973
Caswell,2024,22148
Caswell,2037,20907
Caswell,2043,20340
Caswell,2044,20246
Caswell,2047,19963
Caswell,2048,19871
Caswell,2049,19776
Caswell,2050,19684
Catawba,2010,154760
Catawba,2017,157535
Catawba,2018,158393
Catawba,2020,160792
Catawba,2028,169113
Catawba,2029,170166
Catawba,2043,184924
Catawba,2046,188086
Catawba,2048,190194
Chatham,2029,87972
Chatham,2038,99745
Chatham,2045,108977
Cherokee,2011,27395
Cherokee,2020,28852
Cherokee,2032,31293
Cherokee,2036,32138
Cherokee,2041,33194
Cherokee,2044,33828
Cherokee,2047,34464
Chowan,2016,14016
Chowan,2020,13692
Chowan,2049,13769
Clay,2015,10747
Clay,2037,13224
Clay,2041,13700
Cleveland,2013,96827
Cleveland,2014,97074
Cleveland,2032,106317
Cleveland,2039,107118
Cleveland,2040,107178
Cleveland,2042,107272
Cleveland,2050,107458
Columbus,2017,52975
Columbus,2022,50043
Columbus,2035,47042
Columbus,2050,43549
Craven,2016,101875
Craven,2019,101167
Craven,2021,101988
Craven,2024,102233
Craven,2033,102573
Craven,2034,102586
Craven,2038,102617
Craven,2040,102624
Craven,2048,102639
Cumberland,2014,330022
Cumberland,2031,349603
Cumberland,2033,349804
Cumberland,2046,350043
Cumberland,2049,350046
Currituck,2039,53067
Currituck,2044,59582
Dare,2021,37481
Dare,2024,38848
Dare,2027,40216
Dare,2036,44319
Dare,2049,50246
Davidson,2014,163281
Davidson,2025,176800
Davidson,2027,179724
Davidson,2037,194335
Davidson,2041,200180
Davidson,2045,206025
Davie,2012,41113
Davie,2019,42333
Davie,2026,45624
Davie,2033,48899
Davie,2034,49363
Davie,2035,49831
Davie,2038,51234
Davie,2047,55441
Duplin,2020,48729
Duplin,2027,48777
Duplin,2030,48789
Duplin,2047,48818
Durham,2014,294488
Durham,2023,337195
Durham,2028,360296
Durham,2035,392632
Durham,2036,397253
Durham,2042,424974
Durham,2050,461932
Edgecombe,2015,52420
Edgecombe,2023,47122
Forsyth,2019,380663
Forsyth,2024,390943
Forsyth,2028,402829
Forsyth,2031,412599
Forsyth,2042,449998
Franklin,2022,73371
Franklin,2039,112928
Gaston,2019,226101
Gaston,2020,228264
Gaston,2022,237542
Gaston,2024,243514
Gaston,2026,246422
Gates,2015,11091
Gates,2018,10905
Gates,2020,10476
Gates,2039,10004
Gates,2043,10001
Gates,2048,10001
Graham,2011,8775
Graham,2014,8498
