county,_2016_02_29,_2016_03_31,_2016_04_30,_2016_05_31,_2016_06_30,_2016_07_31,_2016_08_31,_2016_09_30,_2016_10_31,_2016_11_30,_2016_12_31,_2017_01_31,_2017_02_28,_2017_03_31,_2017_04_30,_2017_05_31,_2017_06_30,_2017_07_31,_2017_08_31,_2017_09_30,_2017_10_31,_2017_11_30,_2017_12_31,_2018_01_31,_2018_02_28,_2018_03_31,_2018_04_30,_2018_05_31,_2018_06_30,_2018_07_31,_2018_08_31,_2018_09_30,_2018_10_31,_2018_11_30,_2018_12_31,_2019_01_31,_2019_02_28,_2019_03_31,_2019_04_30,_2019_05_31,_2019_06_30,_2019_07_31,_2019_08_31,_2019_09_30,_2019_10_31,_2019_11_30,_2019_12_31,_2020_01_31,_2020_02_29,_2020_03_31,_2020_04_30,_2020_05_31,_2020_06_30,_2020_07_31,_2020_08_31,_2020_09_30,_2020_10_31,_2020_11_30,_2020_12_31,_2021_01_31,_2021_02_28,_2021_03_31,_2021_04_30,_2021_05_31,_2021_06_30,_2021_07_31,_2021_08_31,_2021_09_30,_2021_10_31,_2021_11_30,_2021_12_31,_2022_01_31,_2022_02_28,_2022_03_31,_2022_04_30,_2022_05_31,_2022_06_30,_2022_07_31,_2022_08_31,_2022_09_30,_2022_10_31,_2022_11_30,_2022_12_31,_2023_01_31,_2023_02_28
Alamance County,138754.5699,138715.1838,138799.4384,138970.6047,139213.0329,139326.1784,139589.8657,140216.9414,141065.0133,142053.2329,142770.7416,143415.111,143841.6644,144435.2659,145085.2292,145750.7637,146381.1381,147128.0444,147874.1403,148558.8463,149362.991,150424.0289,151338.5325,152077.363,152522.1343,153307.9387,153963.0199,154747.3452,155428.077,156492.6902,157509.1584,158693.7767,159512.9094,160480.8922,161144.29,161703.7062,162230.7496,163080.7271,164069.3397,164847.8859,165157.3587,165439.9351,165676.9656,165993.2627,166490.1666,167278.4434,167930.1494,168579.9727,169308.3734,170620.1289,171993.5116,173215.5478,174348.2612,175574.1833,177310.0759,179691.6165,182501.6875,185109.2678,187186.239,189236.4135,191626.0595,194320.7228,196916.4302,199864.1295,203326.1004,207160.0258,210276.0628,212148.517,213449.3288,215090.7533,217386.4195,221241.2528,226247.2409,232287.5921,238009.9541,243112.6613,247764.5974,251077.8707,252623.7183,252937.9806,252897.5896,253259.8366,253048.9735,253140.6406,253469.8666
Alexander County,106610.9265,106295.138,105995.9089,105834.9442,106018.6344,106121.5789,106371.3901,106997.6656,107938.5582,108926.0245,109803.4612,110399.4596,110742.1051,110856.9157,111124.5823,111553.055,112111.5161,112739.7745,113407.7442,114162.3289,114968.3584,115640.2968,116018.0618,116136.6405,116064.4652,116351.0639,116557.4975,116689.6397,116470.0238,116530.974,116697.5899,116912.53,116743.0146,116996.5908,117337.3932,118464.5417,120013.707,122256.6671,124188.471,125648.4791,126605.3737,127199.8803,127731.4079,128215.9259,129377.033,130792.059,132117.5505,132868.8678,133530.5198,134795.3424,136317.1609,137927.4497,139211.6806,140311.3668,141699.7244,143661.6468,146481.3275,149409.9087,152081.0474,154404.2409,156582.6679,158333.8604,159980.2749,161911.387,164473.2535,167058.8324,168705.4624,170075.3143,171147.3455,172509.9376,173106.9593,174590.3286,176740.9336,179433.7418,182018.3133,183839.8258,185742.7306,186686.0472,186936.3549,185954.3549,184893.7415,184749.1065,185480.7468,190453.8295,196149.5128
Alleghany County,122668.4796,123217.5823,123782.0757,123907.3399,124399.8939,124765.6905,125392.7316,125994.9163,126532.872,126989.3582,127488.7023,127999.0214,128424.8177,128808.5607,129358.4464,130007.1442,130533.0686,131012.9518,131403.879,131752.1682,131993.6064,132461.7949,133134.7262,133691.8954,133921.7744,134281.1586,134634.7531,135134.9517,135590.3249,136439.984,137352.0482,138083.3509,138683.1581,139468.6785,140316.5785,140936.2753,141477.8292,142248.4288,142848.9073,143219.3651,143377.5662,144052.7901,144724.928,145433.7713,146333.3057,147417.3747,148694.1092,149520.1269,150494.8125,151472.457,152523.1113,152870.3475,152879.904,153245.6536,154681.6756,157102.441,159945.3956,163197.2893,166758.0415,170045.3518,173116.7079,175605.1154,178210.7205,181349.1941,185732.4126,190382.1591,193860.4703,195647.4899,197143.9111,199296.2087,201461.451,205711.2196,211509.7253,219032.516,226021.6755,231603.758,236165.9684,238230.802,238909.1838,237941.1966,236942.3897,236281.2094,235414.1451,236632.0603,238723.8352
Anson County,39718.67782,40000.5395,40229.93245,40536.77951,41025.28507,41406.22201,41694.42283,41778.97409,41687.91607,41516.405,41549.02883,41795.809,42033.06516,42103.05884,42087.60172,42021.3224,41846.58936,41755.29863,41738.95427,41922.78933,42144.73937,42570.77031,42972.66179,43241.39871,43352.80253,43403.92427,43413.94862,43339.75203,43378.7484,43630.31327,43894.01263,44318.56157,44756.06701,45429.87608,45954.78422,46499.47559,46929.94504,47361.31002,47504.43435,47664.56131,47795.50091,48085.8678,48184.64874,48173.475,48439.46574,48892.42961,49441.79656,49720.38275,50140.51017,50847.45893,51818.50366,52640.61851,53235.67002,53751.06442,54517.66944,55754.00522,57215.58939,58662.27413,59996.51376,61316.8733,62935.13123,64553.32686,66039.98737,67267.3014,68528.81466,68870.80989,68358.43106,66959.65048,66309.66815,66369.89623,66949.27863,69098.07399,72630.98787,76963.89492,80383.34224,82727.33759,84701.64067,85950.91563,86700.90377,86555.26129,86228.40766,85932.58441,85867.109,87218.93061,87834.86124
Ashe County,145730.4441,145271.4968,144919.4211,144965.6909,145345.1916,145970.0643,147165.8334,148463.6049,150049.8311,151306.978,152452.4139,152760.371,152257.9708,151257.5577,150797.5541,151089.5423,151827.9693,152758.0382,153557.1685,154674.1562,155860.9422,157342.5688,158244.9077,158308.5928,157913.6791,157864.1725,158055.4786,158291.3178,158607.6007,159623.8531,160970.8545,162180.39,163132.2778,164420.8638,165922.1526,167527.3188,169139.4367,170833.6813,171703.5873,171701.8614,171451.024,171748.8653,172427.6052,172714.3841,172920.7649,173431.6967,174448.1224,175470.5528,176561.4707,177701.0745,179061.352,179997.3747,180810.6408,181993.9842,184230.3723,187627.6614,191970.154,196707.8765,201249.6004,204996.2779,207931.2327,209817.3607,211886.6571,215151.7646,219845.2756,224254.9129,226597.4606,227086.23,226976.5247,228030.6375,229835.7304,234207.2118,239686.7411,245881.5433,251471.2631,256038.2881,260013.2522,261683.3484,262118.7502,260786.018,259231.6279,256892.0729,255310.0749,258594.0125,264063.4953
Avery County,160103.4909,160370.3224,160699.2139,161763.9984,162374.2578,162386.7864,162076.4833,161129.4485,159007.8373,156243.2028,154336.9768,152328.678,150086.2353,146942.6245,145950.7956,145667.7239,145892.2251,146172.3087,146449.4591,147094.3859,147953.9367,149278.0071,150936.4792,152118.6376,152703.8315,153439.1133,154273.1714,155406.2871,156171.6092,156658.3883,157393.497,158322.7725,159033.6869,159589.0206,159998.0432,160757.481,161658.5572,162734.1856,163490.8664,163556.1252,162970.4291,162155.8108,161719.4152,161772.7757,162453.8832,163452.852,164767.3652,166582.5844,168652.4325,171034.9945,173111.57,174953.1189,176045.1834,177329.8185,179710.6498,183832.7187,189285.3162,195144.3514,201091.9555,206658.261,212213.6705,218455.9106,225103.0636,231508.0551,237255.7818,241141.0835,243281.1606,243860.5354,245130.9524,248598.9167,252899.4137,259767.6518,267726.5777,277399.7928,286919.9322,293869.1269,299101.3083,300830.1136,301422.097,300454.0228,299617.5896,298303.2197,296242.0757,294071.0664,294557.8294
Beaufort County,120076.2957,121374.3914,122033.866,122414.6421,122691.5166,122845.6321,123012.6254,123154.3232,123378.9646,123774.9454,124445.6068,125041.5413,125539.3435,125900.7066,126438.5937,126658.3702,126843.7012,126869.7109,127227.4741,127627.3079,128193.0752,128515.4529,128902.0742,129305.4278,129989.4213,130861.8009,131688.8033,132449.9735,132902.3316,133335.8533,133786.1013,134528.958,135231.5385,136145.3259,137129.0852,138083.4554,138708.155,139169.8848,139373.1819,139453.4529,139462.1723,139674.3222,140200.7034,140670.3944,141532.4466,142550.803,143786.4526,144761.9827,145426.1325,146012.3849,146472.5887,146839.3272,147020.3532,147675.6855,149050.1401,151365.6941,154388.9606,157839.9259,161335.2777,164319.9254,167178.2196,169851.2304,172828.4026,176139.1926,179768.4503,182011.0698,181955.0727,180255.9359,178878.7147,179195.6627,180007.6028,183199.3111,187757.7551,194326.8235,200395.6289,205626.184,209767.9325,212464.4341,214134.4534,215189.0137,216122.3902,216340.399,216077.8483,215697.9143,216472.3223
Bertie County,28526.4575,28592.86485,28586.06745,28433.45838,28299.07355,28095.33131,27983.11205,27921.88864,27948.12448,27893.61481,27751.88889,27723.78361,27907.91192,28010.05762,28067.19347,28055.28181,28237.4869,28522.80882,28687.59299,28852.86325,28992.29131,29250.9356,29525.84735,29883.69533,30236.98941,30768.31924,31208.16262,31292.6788,30994.57624,30873.64772,31039.09394,31318.83717,31370.74649,31546.48489,31879.23778,32166.08486,31946.98293,31646.32603,31476.02516,31751.62209,32071.78475,32245.98276,32264.34593,32054.68239,31940.00917,31893.64444,32066.44779,32207.00563,32490.37566,33006.65304,33733.75386,34267.21445,34466.22064,34416.936,34716.69543,35646.96227,36841.10865,37813.66144,38117.61486,38157.10827,38257.22811,38431.74114,38280.29928,38032.89682,37914.73289,38317.20742,38902.4678,39479.74029,39967.37007,40552.30381,41042.93805,41674.67808,41918.95094,41957.38529,41818.29538,41747.73593,41816.36005,41577.75291,41264.0347,40793.30966,40151.99711,39557.83181,39050.02543,39431.96935,39638.76693
Bladen County,64289.10521,64730.45733,64715.48666,64837.15219,65238.58841,65538.52829,65704.26279,66008.88689,66659.80838,67327.06289,67800.82664,68150.33059,68441.37906,68489.04844,68349.73703,68144.53033,68233.78264,68622.61169,69311.52994,69786.36583,69685.77254,69191.99551,68642.79155,68284.27456,67686.27721,67636.93103,67755.05169,67655.06959,67098.49406,66637.0355,66724.95662,66932.01649,66940.90305,67447.23983,68014.47649,68164.25624,67405.79074,66456.8418,65714.09003,65332.51076,65164.62318,65260.44479,65159.20404,64602.45585,64226.62679,63881.24437,63782.69316,63417.20818,63535.95456,64172.05847,64915.58668,65556.48574,65603.72151,65630.74003,65968.55492,66900.2708,68038.59978,68656.12629,69136.65696,69905.00411,71002.68792,72096.11814,73010.39995,74323.3526,75825.90282,77189.37059,77851.73171,78020.29566,78028.59449,78528.811,79069.21382,80072.55598,81043.35553,82314.09724,83502.04337,84384.27825,85000.59556,84603.67144,83490.64555,82006.97297,80649.48411,79630.59208,78776.21415,,85054.47652
Brunswick County,214486.5474,215570.3505,216086.7349,216408.5868,216935.4752,217369.4351,217687.3673,218010.1081,218648.1325,219497.2075,220110.3703,220790.9419,221919.271,223616.7067,225338.8838,226666.5356,227731.9813,228505.7989,229094.8006,229584.8596,230122.9224,231024.9778,232001.6349,233169.5358,234348.9064,236001.7599,237693.6641,239205.7555,240215.7376,241172.2855,242262.3735,243511.6419,244848.1614,245889.3517,246684.0723,247866.6192,249724.939,252173.9548,254144.1952,255595.1526,256621.0059,257834.9129,259014.3091,260059.667,260998.7486,262307.0299,263570.1047,264915.2762,266317.6582,268060.8607,269426.9062,269864.9758,269973.2333,270544.0662,272336.0198,275311.602,279139.584,283519.4965,288362.8258,293055.8637,297947.5798,302707.8793,308138.0604,314266.4584,321141.8915,327776.922,333278.9261,337854.5274,342306.9626,347000.4225,351523.1738,357621.6926,364952.3312,373751.7689,382253.2939,390447.0128,398012.7175,403295.7533,405967.4912,406435.4637,406945.4321,407301.7344,406842.7621,406184.7322,406205.3059
